"pop_dens","pH","COD","mean_cont","mean_pred","mean_total"
16,7.6,314.877094189835,408.753264201366,93.8761700115307,251.314717106448
16,7.6,233.223029415266,366.960351157059,133.737321741794,250.348836449426
16,7.6,197.708340641614,344.299304973035,146.590964331421,245.445134652228
16,7.6,179.728100718549,338.132528470496,158.404427751947,248.268478111221
16,7.6,249.011463232003,374.167306828699,125.155843596695,249.661575212697
16,7.6,184.037414419121,338.355424006735,154.318009587614,246.336716797175
16,7.6,257.85298616938,374.353053108897,116.500066939518,245.426560024208
16,7.6,77.7905421464754,280.514032353409,202.723490206934,241.618761280172
16,7.6,288.092480585438,390.624427254146,102.531946668708,246.578186961427
16,7.6,273.158479657607,383.343173070429,110.184693412822,246.763933241625
16,7.6,253.209329164454,374.613097901171,121.403768736717,248.008433318944
