plate,density,duration,colony,settle_time,mod_x,mod_y,field_area,field_perc,mod_area,mod_perc
C10,24,81,1,4,11.9,37.0,9032.293,10.6768109,516.2260619,10.32452124
C10,24,81,4,5,32.0,3.8,5820.547,6.88029935,193.4733255,3.869466509
C10,24,81,16,5,63.4,34.5,3191.198,3.772222357,203.280729,4.065614581
C10,24,81,22,5,81.4,44.2,4048.481,4.785591662,98.07403594,1.961480719
C10,24,81,15,6,61.4,43.4,4993.187,5.902301153,219.3292077,4.386584153
C10,24,81,3,7,19.2,11.3,8593.279,10.15786522,403.2923236,8.065846471
C10,24,81,5,7,37.7,23.4,8349.148,9.869285061,339.0984091,6.781968183
C10,24,81,11,8,70.8,8.9,1926.106,2.276793892,135.520486,2.710409721
C10,24,81,17,8,74.0,48.3,1323.899,1.564942509,45.76788344,0.915357669
C10,24,81,24,8,98.6,43.5,2379.824,2.813120746,84.70030377,1.694006075
C10,24,81,2,9,8.4,27.1,4177.745,4.938390877,201.4975648,4.029951295
C10,24,81,7,10,54.8,24.0,2662.148,3.146847737,93.91331927,1.878266385
C10,24,81,20,10,81.9,45.8,1029.277,1.216678411,23.47832982,0.469566596
C10,24,81,18,12,75.8,39.4,1844.527,2.180361729,47.84824178,0.956964836
C10,24,81,10,13,65.8,16.4,2139.134,2.528608096,83.80872162,1.676174432
C10,24,81,8,17,53.1,15.1,1851.44,2.188533385,36.55486794,0.731097359
C10,24,81,19,17,78.7,34.8,1475.749,1.744439979,125.4158884,2.508317768
C10,24,81,12,18,76.3,11.2,3207.361,3.791328169,121.8495598,2.436991196
C10,24,81,13,18,93.5,13.6,5248.571,6.204183153,203.280729,4.065614581
C10,24,81,23,19,92.2,38.6,783.929,0.926659675,70.1377954,1.402755908
C10,24,81,21,21,76.8,46.0,335.722,0.396847214,10.10459764,0.202091953
C10,24,81,14,24,96.3,8.9,1327.557,1.569266525,58.84442157,1.176888431
D3,16,74,11,0,63.2,27.1,13068.78,15.29706525,470.7553725,9.415107451
D3,16,74,14,2,77.8,32.8,10645.631,12.46075855,564.3714978,11.28742996
D3,16,74,2,3,6.7,29.4,4105.647,4.805678117,149.4886063,2.989772126
D3,16,74,8,3,45.4,23.1,14661.641,17.16151615,668.0922206,13.36184441
D3,16,74,3,5,10.6,29.8,1965.506,2.300633536,131.9541575,2.639083149
D3,16,74,6,8,20.1,3.4,8882.561,10.39707725,378.0308295,7.560616589
D3,16,74,1,9,4.3,23.7,2783.143,3.257681289,123.038336,2.46076672
D3,16,74,4,9,13.1,30.0,4183.689,4.897026626,207.4414457,4.148828914
D3,16,74,5,11,21.5,49.7,5532.793,6.476158873,266.2858673,5.325717346
D3,16,74,9,11,62.1,10.9,5384.149,6.302170408,262.1251506,5.242503012
D3,16,74,10,14,61.8,17.8,771.107,0.902584181,42.20155486,0.844031097
D3,16,74,13,14,75.0,30.3,481.124,0.563157787,39.22961438,0.784592288
D3,16,74,15,16,81.9,38.9,5033.524,5.891762282,177.4248468,3.548496937
D3,16,74,16,16,80.5,8.8,7993.736,9.356703625,374.4645009,7.489290018
D3,16,74,7,24,39.3,18.1,260.518,0.30493748,75.19009422,1.503801884
D3,16,74,12,24,63.4,22.3,106.215,0.124325131,17.8316429,0.356632858
D4,24,95,10,1,56.8,30.0,3179.667,3.716885786,79.945199,1.59890398
D4,24,95,1,2,4.3,32.1,17406.992,20.3479802,863.6459044,17.27291809
D4,24,95,22,2,90.9,25.7,10897.727,12.73894612,353.3637234,7.067274469
D4,24,95,17,4,68.1,28.0,3977.164,4.649123427,188.4210266,3.768420533
D4,24,95,23,5,97.9,36.7,4582.221,5.35640748,186.6378623,3.732757247
D4,24,95,6,6,41.8,26.9,14338.714,16.76130307,479.0768059,9.581536118
D4,24,95,11,6,56.3,33.0,1110.836,1.298516649,88.5638264,1.771276528
D4,24,95,12,8,55.4,37.2,6226.743,7.278778737,226.4618648,4.529237296
D4,24,95,15,12,73.7,8.2,7885.294,9.217549256,259.7475982,5.194951965
D4,24,95,8,13,52.8,23.2,2034.14,2.377816939,159.890398,3.19780796
D4,24,95,9,13,51.7,24.3,700.885,0.819302617,26.74746435,0.534949287
D4,24,95,7,19,44.2,31.7,1358.9,1.588492158,40.71558462,0.814311692
D4,24,95,19,19,75.2,41.9,4101.056,4.793947528,150.0829944,3.001659888
D4,24,95,14,20,63.1,14.6,1942.222,2.270368987,112.6365443,2.252730886
D4,24,95,18,23,70.6,32.3,277.863,0.324809181,36.25767389,0.725153478
D4,24,95,20,23,90.3,2.4,133.447,0.15599346,52.60334655,1.052066931
D4,24,95,24,23,85.3,22.4,313.644,0.366635539,45.47068939,0.909413788
D4,24,95,2,24,26.7,14.8,1196.168,1.398265868,182.1799516,3.643599032
D4,24,95,13,24,59.9,25.6,152.014,0.177697437,12.77934408,0.255586882
D4,24,95,5,25,36.4,26.5,1009.601,1.180177549,73.10973589,1.462194718
D4,24,95,16,26,70.1,21.8,408.532,0.477555286,18.426031,0.36852062
D4,24,95,21,26,94.6,4.6,354.46,0.414347583,48.14543583,0.962908717
D4,24,95,3,28,30.4,11.1,1149.269,1.343443075,68.35463111,1.367092622
D4,24,95,4,29,28.0,7.6,479.824,0.560892384,95.69648356,1.913929671
D7,16,95,12,3,82.9,37.0,3966.973,4.684126324,126.3074705,2.526149411
D7,16,95,3,6,18.9,41.1,3493.298,4.124819887,742.3907327,14.84781465
D7,16,95,14,6,87.1,36.6,4094.92,4.83520371,325.4274829,6.508549658
D7,16,95,10,8,71.2,29.0,11121.207,13.13170986,364.3599032,7.287198065
D7,16,95,16,9,80.4,48.6,1617.432,1.909832966,62.41075015,1.248215003
D7,16,95,1,10,2.3,41.8,8091.527,9.554321298,265.6914792,5.313829584
D7,16,95,9,10,66.2,28.3,2986.257,3.52611551,574.1789013,11.48357803
D7,16,95,11,12,75.4,30.4,4411.633,5.209172401,107.5842455,2.15168491
D7,16,95,6,13,39.3,32.2,6254.828,7.385582026,158.1072337,3.162144674
D7,16,95,4,16,39.2,23.7,14236.065,16.80967499,706.4302528,14.12860506
D7,16,95,8,18,46.1,43.8,3641.966,4.300364236,169.6978016,3.393956032
D7,16,95,5,20,37.1,29.1,9088.75,10.73182326,53.4949287,1.069898574
